"Club","M1Results","M2Results","M3Results","M4Results","M5Results","M6Results","M7Results","M8Results","M9Results","M10Results","M11Results","M12Results","M13Results","M14Results","M15Results","M16Results","M17Results","M18Results","M19Results","M20Results","M21Results","M22Results","M23Results","M24Results","M25Results","M26Results","M27Results","M28Results","M29Results","M30Results","M31Results","M32Results","M33Results","M34Results","M35Results","M36Results","M37Results","M38Results","M1Points","M2Points","M3Points","M4Points","M5Points","M6Points","M7Points","M8Points","M9Points","M10Points","M11Points","M12Points","M13Points","M14Points","M15Points","M16Points","M17Points","M18Points","M19Points","M20Points","M21Points","M22Points","M23Points","M24Points","M25Points","M26Points","M27Points","M28Points","M29Points","M30Points","M31Points","M32Points","M33Points","M34Points","M35Points","M36Points","M37Points","M38Points"
"Arsenal","HomeL","AwayW","HomeW","AwayW","HomeW","AwayW","AwayD","HomeW","AwayW","HomeW","AwayL","HomeW","AwayW","HomeW","HomeD","AwayL","HomeD","AwayW","AwayW","HomeW","AwayW","HomeW","AwayD","HomeW","AwayL","HomeD","HomeW","AwayL","AwayW","AwayL","HomeD","HomeD","AwayL","HomeW","AwayW","HomeW","HomeW","AwayW","0","3","3","3","3","3","1","3","3","3","0","3","3","3","1","0","1","3","3","3","3","3","1","3","0","1","3","0","3","0","1","1","0","3","3","3","3","3"
"Aston Villa","AwayW","AwayL","HomeL","HomeL","AwayW","HomeW","AwayD","HomeL","HomeL","AwayD","HomeW","AwayD","HomeD","AwayW","AwayL","HomeL","AwayL","HomeL","HomeD","AwayW","HomeL","AwayD","HomeW","AwayL","HomeL","AwayD","AwayL","HomeW","HomeW","HomeL","AwayL","HomeL","AwayL","HomeD","AwayL","HomeW","AwayL","AwayL","3","0","0","0","3","3","1","0","0","1","3","1","1","3","0","0","0","0","1","3","0","1","3","0","0","1","0","3","3","0","0","0","0","1","0","3","0","0"
"Cardiff","AwayL","HomeW","HomeD","AwayD","HomeL","AwayW","HomeL","AwayL","AwayD","HomeW","AwayL","HomeD","HomeL","AwayD","AwayL","HomeW","AwayL","HomeL","HomeD","AwayL","HomeL","AwayL","AwayL","HomeW","AwayL","HomeD","HomeL","AwayL","HomeW","AwayL","HomeL","AwayD","HomeL","AwayW","HomeD","AwayL","AwayL","HomeL","0","3","1","1","0","3","0","0","1","3","0","1","0","1","0","3","0","0","1","0","0","0","0","3","0","1","0","0","3","0","0","1","0","3","1","0","0","0"
"Chelsea","HomeW","HomeW","AwayD","AwayL","HomeW","AwayD","AwayW","HomeW","HomeW","AwayL","HomeD","AwayW","HomeW","AwayW","AwayL","HomeW","AwayD","HomeW","HomeW","AwayW","AwayW","HomeW","HomeD","AwayW","HomeW","AwayD","HomeW","AwayW","HomeW","AwayL","HomeW","AwayL","HomeW","AwayW","HomeL","AwayW","HomeD","AwayW","3","3","1","0","3","1","3","3","3","0","1","3","3","3","0","3","1","3","3","3","3","3","1","3","3","1","3","3","3","0","3","0","3","3","0","3","1","3"
"Crystal Palace","HomeL","AwayL","HomeW","AwayL","HomeL","AwayL","AwayL","HomeL","HomeL","AwayL","HomeD","AwayW","AwayL","HomeW","HomeW","AwayL","HomeL","AwayW","AwayL","HomeD","AwayL","HomeW","HomeW","AwayL","HomeW","HomeL","AwayD","HomeL","AwayD","AwayL","HomeW","AwayW","HomeW","AwayW","AwayW","HomeL","HomeD","AwayD","0","0","3","0","0","0","0","0","0","0","1","3","0","3","3","0","0","3","0","1","0","3","3","0","3","0","1","0","1","0","3","3","3","3","3","0","1","1"
"Everton","AwayD","HomeD","AwayD","HomeW","AwayW","HomeW","AwayL","HomeW","AwayW","HomeD","AwayD","HomeD","HomeW","AwayW","AwayD","HomeW","AwayW","HomeL","HomeW","AwayD","HomeW","AwayD","AwayL","HomeW","AwayL","AwayL","HomeW","HomeW","HomeW","AwayW","AwayW","HomeW","AwayW","HomeL","HomeW","AwayL","HomeL","AwayW","1","1","1","3","3","3","0","3","3","1","1","1","3","3","1","3","3","0","3","1","3","1","0","3","0","0","3","3","3","3","3","3","3","0","3","0","0","3"
"Fulham","AwayW","HomeL","AwayL","HomeD","AwayL","HomeL","HomeW","AwayW","AwayL","HomeL","AwayL","HomeL","AwayL","HomeL","HomeW","AwayL","HomeL","AwayW","AwayL","HomeW","HomeL","AwayL","AwayL","HomeL","AwayD","HomeL","AwayD","HomeL","AwayL","HomeW","AwayL","HomeL","AwayW","HomeW","AwayL","HomeD","AwayL","HomeD","3","0","0","1","0","0","3","3","0","0","0","0","0","0","3","0","0","3","0","3","0","0","0","0","1","0","1","0","0","3","0","0","3","3","0","1","0","1"
"Hull","AwayL","HomeW","AwayL","HomeD","AwayW","HomeW","HomeD","AwayL","AwayL","HomeW","AwayL","HomeL","HomeW","AwayL","AwayD","HomeD","AwayD","HomeL","HomeW","AwayL","HomeL","AwayL","AwayL","HomeD","AwayW","HomeL","AwayW","HomeL","HomeL","HomeW","AwayL","AwayL","HomeW","HomeL","AwayD","AwayL","AwayL","HomeL","0","3","0","1","3","3","1","0","0","3","0","0","3","0","1","1","1","0","3","0","0","0","0","1","3","0","3","0","0","3","0","0","3","0","1","0","0","0"
"Liverpool","HomeW","AwayW","HomeW","AwayD","HomeL","AwayW","HomeW","AwayD","HomeW","AwayL","HomeW","AwayD","AwayL","HomeW","HomeW","AwayW","HomeW","AwayL","AwayL","HomeW","AwayW","HomeD","HomeW","AwayD","HomeW","AwayW","HomeW","AwayW","AwayW","AwayW","HomeW","HomeW","AwayW","HomeW","AwayW","HomeL","AwayD","HomeW","3","3","3","1","0","3","3","1","3","0","3","1","0","3","3","3","3","0","0","3","3","1","3","1","3","3","3","3","3","3","3","3","3","3","3","0","1","3"
"Man City","HomeW","AwayL","HomeW","AwayD","HomeW","AwayL","HomeW","AwayW","AwayL","HomeW","AwayL","HomeW","HomeW","AwayW","AwayD","HomeW","AwayW","HomeW","HomeW","AwayW","AwayW","HomeW","AwayW","HomeL","AwayD","HomeW","AwayW","HomeW","AwayW","AwayD","HomeW","AwayL","HomeD","HomeW","AwayW","AwayW","HomeW","HomeW","3","0","3","1","3","0","3","3","0","3","0","3","3","3","1","3","3","3","3","3","3","3","3","0","1","3","3","3","3","1","3","0","1","3","3","3","3","3"
