"Club","M1Results","M2Results","M3Results","M4Results","M5Results","M6Results","M7Results","M8Results","M9Results","M10Results","M11Results","M12Results","M13Results","M14Results","M15Results","M16Results","M17Results","M18Results","M19Results","M20Results","M21Results","M22Results","M23Results","M24Results","M25Results","M26Results","M27Results","M28Results","M29Results","M30Results","M31Results","M32Results","M33Results","M34Results","M35Results","M36Results","M37Results","M38Results","M1Points","M2Points","M3Points","M4Points","M5Points","M6Points","M7Points","M8Points","M9Points","M10Points","M11Points","M12Points","M13Points","M14Points","M15Points","M16Points","M17Points","M18Points","M19Points","M20Points","M21Points","M22Points","M23Points","M24Points","M25Points","M26Points","M27Points","M28Points","M29Points","M30Points","M31Points","M32Points","M33Points","M34Points","M35Points","M36Points","M37Points","M38Points"
"Man United","AwayW","HomeW","AwayW","HomeL","AwayL","HomeW","HomeD","AwayD","AwayL","HomeD","AwayW","HomeD","HomeD","AwayD","HomeW","AwayW","AwayW","HomeW","HomeW","AwayW","HomeD","AwayD","HomeD","AwayW","HomeW","HomeD","AwayW","HomeD","HomeD","AwayW","HomeW","AwayW","AwayD","HomeD","AwayL","AwayL","AwayD","HomeW","3","3","3","0","0","3","1","1","0","1","3","1","1","1","3","3","3","3","3","3","1","1","1","3","3","1","3","1","1","3","3","3","1","1","0","0","1","3"
"Middlesbrough","HomeD","AwayW","AwayD","HomeL","AwayL","HomeL","AwayD","HomeL","AwayD","HomeW","AwayD","HomeL","AwayD","HomeW","AwayL","HomeL","HomeW","AwayL","AwayL","HomeD","AwayD","HomeL","HomeD","AwayL","HomeD","AwayL","AwayL","HomeL","AwayD","AwayL","HomeD","HomeL","AwayL","HomeW","HomeD","AwayL","HomeL","AwayL","1","3","1","0","0","0","1","0","1","3","1","0","1","3","0","0","3","0","0","1","1","0","1","0","1","0","0","0","1","0","1","0","0","3","1","0","0","0"
"Southampton","HomeD","AwayL","HomeD","AwayL","HomeW","AwayW","AwayD","HomeW","AwayD","HomeL","AwayL","HomeD","HomeW","AwayL","HomeW","AwayD","AwayW","HomeL","HomeL","AwayL","AwayL","HomeW","AwayL","HomeL","AwayW","AwayW","AwayL","HomeD","HomeW","AwayW","HomeL","AwayL","HomeD","AwayD","HomeL","AwayW","HomeD","HomeL","1","0","1","0","3","3","1","3","1","0","0","1","3","0","3","1","3","0","0","0","0","3","0","0","3","3","0","1","3","3","0","0","1","1","0","3","1","0"
"Stoke","AwayD","HomeL","AwayL","HomeL","AwayL","HomeD","AwayD","HomeW","AwayW","HomeW","AwayD","HomeL","AwayW","HomeW","AwayL","HomeD","HomeD","AwayL","AwayL","HomeW","AwayW","HomeD","HomeD","AwayL","HomeW","AwayL","HomeW","AwayD","HomeL","AwayL","AwayL","HomeL","HomeW","AwayL","HomeD","AwayD","HomeL","AwayW","1","0","0","0","0","1","1","3","3","3","1","0","3","3","0","1","1","0","0","3","3","1","1","0","3","0","3","1","0","0","0","0","3","0","1","1","0","3"
"Sunderland","AwayL","HomeL","AwayD","HomeL","AwayL","HomeL","HomeD","AwayL","AwayL","HomeL","AwayW","HomeW","AwayL","HomeW","AwayL","HomeL","HomeW","AwayL","AwayL","HomeD","HomeL","AwayL","HomeD","AwayW","HomeL","AwayL","HomeL","HomeD","AwayL","AwayL","HomeL","HomeD","AwayL","HomeL","AwayW","HomeL","AwayL","AwayL","0","0","1","0","0","0","1","0","0","0","3","3","0","3","0","0","3","0","0","1","0","0","1","3","0","0","0","1","0","0","0","1","0","0","3","0","0","0"
"Swansea","AwayW","HomeL","AwayL","HomeD","AwayL","HomeL","HomeL","AwayL","HomeD","AwayL","HomeL","AwayD","HomeW","AwayL","HomeW","AwayL","AwayL","HomeL","HomeL","AwayW","HomeL","AwayW","HomeW","AwayL","HomeW","AwayL","HomeW","AwayL","AwayL","HomeD","HomeL","AwayL","AwayL","HomeW","AwayD","HomeW","AwayW","HomeW","3","0","0","1","0","0","0","0","1","0","0","1","3","0","3","0","0","0","0","3","0","3","3","0","3","0","3","0","0","1","0","0","0","3","1","3","3","3"
"Tottenham","AwayD","HomeW","HomeD","AwayW","HomeW","AwayW","HomeW","AwayD","AwayD","HomeD","AwayD","HomeW","AwayL","HomeW","AwayL","HomeW","HomeW","AwayW","AwayW","HomeW","HomeW","AwayD","AwayD","HomeW","AwayL","HomeW","HomeW","HomeW","AwayW","AwayW","HomeW","HomeW","AwayW","HomeW","AwayL","HomeW","AwayW","AwayW","1","3","1","3","3","3","3","1","1","1","1","3","0","3","0","3","3","3","3","3","3","1","1","3","0","3","3","3","3","3","3","3","3","3","0","3","3","3"
"Watford","AwayD","HomeL","HomeL","AwayW","HomeW","AwayL","HomeD","AwayW","AwayD","HomeW","AwayL","HomeW","HomeL","AwayL","HomeW","AwayL","AwayL","HomeD","HomeL","AwayL","HomeD","AwayD","AwayW","HomeW","AwayL","HomeD","HomeL","AwayL","HomeW","HomeW","AwayL","HomeW","AwayL","HomeL","AwayL","AwayL","AwayL","HomeL","1","0","0","3","3","0","1","3","1","3","0","3","0","0","3","0","0","1","0","0","1","1","3","3","0","1","0","0","3","3","0","3","0","0","0","0","0","0"
"West Brom","AwayW","HomeL","HomeD","AwayL","HomeW","AwayD","AwayD","HomeD","AwayL","HomeL","AwayW","HomeW","AwayD","HomeW","AwayL","HomeW","HomeL","AwayL","AwayW","HomeW","AwayL","HomeW","AwayD","HomeW","AwayD","HomeW","HomeL","AwayL","HomeW","AwayD","AwayL","HomeL","HomeL","HomeL","AwayD","HomeL","AwayL","AwayL","3","0","1","0","3","1","1","1","0","0","3","3","1","3","0","3","0","0","3","3","0","3","1","3","1","3","0","0","3","1","0","0","0","0","1","0","0","0"
"West Ham","AwayL","HomeW","AwayL","HomeL","AwayL","HomeL","HomeD","AwayW","HomeW","AwayL","HomeD","AwayL","AwayD","HomeL","AwayD","HomeW","HomeW","AwayW","AwayL","HomeL","HomeW","AwayW","HomeL","AwayW","HomeD","AwayD","HomeL","AwayL","HomeL","AwayL","AwayL","HomeW","AwayD","HomeD","AwayD","HomeW","HomeL","AwayW","0","3","0","0","0","0","1","3","3","0","1","0","1","0","1","3","3","3","0","0","3","3","0","3","1","1","0","0","0","0","0","3","1","1","1","3","0","3"
