"Club","M1Results","M2Results","M3Results","M4Results","M5Results","M6Results","M7Results","M8Results","M9Results","M10Results","M11Results","M12Results","M13Results","M14Results","M15Results","M16Results","M17Results","M18Results","M19Results","M20Results","M21Results","M22Results","M23Results","M24Results","M25Results","M26Results","M27Results","M28Results","M29Results","M30Results","M31Results","M32Results","M33Results","M34Results","M35Results","M36Results","M37Results","M38Results","M1Points","M2Points","M3Points","M4Points","M5Points","M6Points","M7Points","M8Points","M9Points","M10Points","M11Points","M12Points","M13Points","M14Points","M15Points","M16Points","M17Points","M18Points","M19Points","M20Points","M21Points","M22Points","M23Points","M24Points","M25Points","M26Points","M27Points","M28Points","M29Points","M30Points","M31Points","M32Points","M33Points","M34Points","M35Points","M36Points","M37Points","M38Points"
"Man United","HomeL","AwayD","AwayD","HomeW","AwayL","HomeW","HomeW","AwayD","HomeD","AwayL","HomeW","AwayW","HomeW","HomeW","AwayW","HomeW","AwayD","HomeW","AwayD","AwayD","HomeL","AwayW","HomeW","AwayD","HomeW","AwayL","HomeW","AwayW","HomeW","AwayW","HomeW","HomeW","AwayL","AwayL","HomeL","AwayW","HomeD","AwayD","0","1","1","3","0","3","3","1","1","0","3","3","3","3","3","3","1","3","1","1","0","3","3","1","3","0","3","3","3","3","3","3","0","0","0","3","1","1"
"Newcastle","HomeL","AwayD","HomeD","AwayL","HomeD","AwayL","AwayD","HomeW","AwayW","HomeW","AwayW","HomeW","AwayL","AwayD","HomeW","AwayL","HomeL","AwayL","HomeW","HomeD","AwayL","HomeL","AwayW","HomeD","AwayD","AwayL","HomeW","HomeL","AwayL","HomeL","AwayL","AwayL","HomeL","HomeL","AwayL","HomeD","AwayL","HomeW","0","1","1","0","1","0","1","3","3","3","3","3","0","1","3","0","0","0","3","1","0","0","3","1","1","0","3","0","0","0","0","0","0","0","0","1","0","3"
"QPR","HomeL","AwayL","HomeW","AwayL","HomeD","AwayL","AwayL","HomeL","HomeW","AwayL","HomeD","AwayL","HomeW","AwayL","HomeW","AwayL","HomeW","AwayL","HomeD","HomeD","AwayL","HomeL","AwayL","HomeL","AwayW","AwayL","HomeL","HomeL","AwayL","HomeL","AwayW","AwayD","HomeL","HomeD","AwayL","AwayL","HomeW","AwayL","0","0","3","0","1","0","0","0","3","0","1","0","3","0","3","0","3","0","1","1","0","0","0","0","3","0","0","0","0","0","3","1","0","1","0","0","3","0"
"Southampton","AwayL","HomeD","AwayW","HomeW","AwayW","HomeW","AwayL","HomeW","HomeW","AwayW","HomeW","AwayD","HomeL","AwayL","HomeL","AwayL","HomeW","AwayW","HomeD","HomeW","AwayW","AwayW","HomeL","AwayW","HomeD","HomeL","AwayL","HomeW","AwayD","HomeW","AwayL","HomeW","AwayL","HomeD","AwayL","AwayL","HomeW","AwayL","0","1","3","3","3","3","0","3","3","3","3","1","0","0","0","0","3","3","1","3","3","3","0","3","1","0","0","3","1","3","0","3","0","1","0","0","3","0"
"Stoke","HomeL","AwayD","AwayW","HomeL","AwayD","HomeW","AwayL","HomeW","AwayL","HomeD","AwayW","HomeL","AwayL","AwayL","HomeW","AwayD","HomeL","AwayW","HomeW","HomeD","AwayL","AwayW","HomeW","AwayD","HomeL","AwayW","HomeW","HomeW","AwayL","HomeL","AwayL","AwayD","HomeW","HomeD","AwayL","HomeW","AwayD","HomeW","0","1","3","0","1","3","0","3","0","1","3","0","0","0","3","1","0","3","3","1","0","3","3","1","0","3","3","3","0","0","0","1","3","1","0","3","1","3"
"Sunderland","AwayD","HomeD","AwayL","HomeD","AwayD","HomeD","HomeW","AwayL","HomeL","AwayW","HomeD","AwayD","HomeD","HomeL","AwayD","HomeD","AwayW","HomeL","AwayD","AwayL","HomeL","AwayL","HomeW","AwayD","HomeL","HomeD","AwayL","AwayD","HomeL","AwayL","HomeW","HomeL","AwayD","HomeW","AwayW","HomeD","AwayD","AwayL","1","1","0","1","1","1","3","0","0","3","1","1","1","0","1","1","3","0","1","0","0","0","3","1","0","1","0","1","0","0","3","0","1","3","3","1","1","0"
"Swansea","AwayW","HomeW","HomeW","AwayL","HomeL","AwayD","HomeD","AwayL","HomeW","AwayD","HomeW","AwayL","HomeD","HomeW","AwayL","HomeL","AwayW","HomeW","AwayL","AwayD","HomeD","HomeL","AwayW","HomeD","AwayL","HomeW","AwayW","AwayL","HomeL","AwayW","HomeW","HomeD","AwayL","AwayW","HomeW","AwayW","HomeL","AwayL","3","3","3","0","0","1","1","0","3","1","3","0","1","3","0","0","3","3","0","1","1","0","3","1","0","3","3","0","0","3","3","1","0","3","3","3","0","0"
"Tottenham","AwayW","HomeW","HomeL","AwayD","HomeL","AwayD","HomeW","AwayL","HomeL","AwayW","HomeL","AwayW","HomeW","AwayL","HomeD","AwayW","HomeW","AwayW","HomeD","HomeW","AwayL","HomeW","AwayW","HomeW","AwayL","HomeD","HomeW","AwayW","AwayL","HomeW","AwayD","HomeL","AwayW","AwayD","HomeL","AwayL","HomeW","AwayW","3","3","0","1","0","1","3","0","0","3","0","3","3","0","1","3","3","3","1","3","0","3","3","3","0","1","3","3","0","3","1","0","3","1","0","0","3","3"
"West Brom","HomeD","AwayD","AwayL","HomeL","AwayW","HomeW","AwayL","HomeD","HomeD","AwayW","HomeL","AwayL","HomeL","HomeL","AwayD","HomeW","AwayL","HomeL","AwayL","AwayD","HomeW","AwayD","HomeL","AwayD","HomeW","AwayD","HomeW","AwayL","HomeW","AwayL","HomeL","HomeL","AwayW","HomeD","AwayW","AwayD","HomeW","AwayL","1","1","0","0","3","3","0","1","1","3","0","0","0","0","1","3","0","0","0","1","3","1","0","1","3","1","3","0","3","0","0","0","3","1","3","1","3","0"
"West Ham","HomeL","AwayW","HomeL","AwayD","HomeW","AwayL","HomeW","AwayW","HomeW","AwayD","HomeD","AwayL","HomeW","AwayW","HomeW","AwayD","HomeW","AwayL","HomeL","HomeD","AwayD","HomeW","AwayL","HomeD","AwayD","AwayD","HomeL","HomeL","AwayL","HomeW","AwayL","HomeD","AwayL","AwayD","HomeW","AwayL","HomeL","AwayL","0","3","0","1","3","0","3","3","3","1","1","0","3","3","3","1","3","0","0","1","1","3","0","1","1","1","0","0","0","3","0","1","0","1","3","0","0","0"
