"Club","M1Results","M2Results","M3Results","M4Results","M5Results","M6Results","M7Results","M8Results","M9Results","M10Results","M11Results","M12Results","M13Results","M14Results","M15Results","M16Results","M17Results","M18Results","M19Results","M20Results","M21Results","M22Results","M23Results","M24Results","M25Results","M26Results","M27Results","M28Results","M29Results","M30Results","M31Results","M32Results","M33Results","M34Results","M35Results","M36Results","M37Results","M38Results","M1Points","M2Points","M3Points","M4Points","M5Points","M6Points","M7Points","M8Points","M9Points","M10Points","M11Points","M12Points","M13Points","M14Points","M15Points","M16Points","M17Points","M18Points","M19Points","M20Points","M21Points","M22Points","M23Points","M24Points","M25Points","M26Points","M27Points","M28Points","M29Points","M30Points","M31Points","M32Points","M33Points","M34Points","M35Points","M36Points","M37Points","M38Points"
"Arsenal","HomeL","AwayW","HomeD","AwayW","HomeW","AwayL","AwayW","HomeW","AwayW","HomeW","AwayW","HomeD","AwayL","AwayD","HomeW","AwayW","HomeW","AwayL","HomeW","HomeW","AwayD","AwayD","HomeL","HomeD","AwayW","HomeW","AwayL","HomeL","AwayD","AwayW","HomeW","AwayD","HomeD","HomeW","AwayD","HomeW","AwayD","HomeW","0","3","1","3","3","0","3","3","3","3","3","1","0","1","3","3","3","0","3","3","1","1","0","1","3","3","0","0","1","3","3","1","1","3","1","3","1","3"
"Aston Villa","AwayW","HomeL","AwayL","HomeD","AwayL","HomeL","AwayL","HomeL","AwayL","HomeL","AwayL","HomeD","AwayL","HomeL","AwayD","HomeL","AwayD","HomeD","AwayL","AwayL","HomeW","HomeD","AwayD","AwayL","HomeW","HomeL","AwayL","HomeL","AwayL","HomeL","AwayL","HomeL","HomeL","AwayL","HomeL","AwayL","HomeD","AwayL","3","0","0","1","0","0","0","0","0","0","0","1","0","0","1","0","1","1","0","0","3","1","1","0","3","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Bournemouth","HomeL","AwayL","AwayW","HomeD","AwayL","HomeW","AwayL","HomeD","AwayL","HomeL","AwayL","HomeL","AwayD","HomeD","AwayW","HomeW","AwayW","HomeD","AwayL","AwayD","HomeL","HomeW","AwayD","AwayW","HomeL","HomeL","AwayD","HomeW","AwayW","HomeW","AwayL","HomeL","AwayW","HomeL","HomeL","AwayL","HomeD","AwayL","0","0","3","1","0","3","0","1","0","0","0","0","1","1","3","3","3","1","0","1","0","3","1","3","0","0","1","3","3","3","0","0","3","0","0","0","1","0"
"Chelsea","HomeD","AwayL","AwayW","HomeL","AwayL","HomeW","AwayD","HomeL","HomeW","AwayL","HomeL","AwayL","HomeW","AwayD","HomeL","AwayL","HomeW","HomeD","AwayD","AwayW","HomeD","HomeD","AwayW","AwayD","HomeD","HomeW","AwayW","AwayW","HomeD","HomeD","AwayW","AwayL","HomeL","AwayW","HomeD","AwayL","AwayD","HomeD","1","0","3","0","0","3","1","0","3","0","0","0","3","1","0","0","3","1","1","3","1","1","3","1","1","3","3","3","1","1","3","0","0","3","1","0","1","1"
"Crystal Palace","AwayW","HomeL","HomeW","AwayW","HomeL","AwayL","AwayW","HomeW","HomeL","AwayL","HomeD","AwayW","HomeL","HomeW","AwayD","HomeW","AwayW","AwayD","HomeD","HomeL","AwayL","AwayL","HomeL","HomeL","AwayD","HomeL","AwayL","AwayD","HomeL","HomeL","AwayD","HomeW","HomeD","AwayD","AwayL","AwayL","HomeW","AwayL","3","0","3","3","0","0","3","3","0","0","1","3","0","3","1","3","3","1","1","0","0","0","0","0","1","0","0","1","0","0","1","3","1","1","0","0","3","0"
"Everton","HomeD","AwayW","HomeL","AwayD","HomeW","AwayD","AwayW","HomeD","HomeL","AwayL","HomeW","AwayD","HomeW","AwayD","HomeD","AwayD","HomeL","AwayW","HomeL","HomeD","AwayD","AwayD","HomeL","HomeW","AwayW","HomeL","AwayW","HomeL","HomeL","AwayL","AwayD","AwayD","HomeD","AwayL","HomeW","AwayL","AwayL","HomeW","1","3","0","1","3","1","3","1","0","0","3","1","3","1","1","1","0","3","0","1","1","1","0","3","3","0","3","0","0","0","1","1","1","0","3","0","0","3"
"Leicester","HomeW","AwayW","HomeD","AwayD","HomeW","AwayD","HomeL","AwayW","AwayD","HomeW","AwayW","HomeW","AwayW","HomeD","AwayW","HomeW","AwayW","AwayL","HomeD","HomeD","AwayW","AwayD","HomeW","HomeW","AwayW","AwayL","HomeW","HomeD","AwayW","HomeW","AwayW","HomeW","AwayW","HomeD","HomeW","AwayD","HomeW","AwayD","3","3","1","1","3","1","0","3","1","3","3","3","3","1","3","3","3","0","1","1","3","1","3","3","3","0","3","1","3","3","3","3","3","1","3","1","3","1"
"Liverpool","AwayW","HomeW","AwayD","HomeL","AwayL","HomeD","HomeW","AwayD","AwayD","HomeD","AwayW","HomeL","AwayW","HomeW","AwayL","HomeD","AwayL","HomeW","AwayW","AwayL","HomeD","HomeL","AwayW","AwayL","HomeD","AwayW","HomeW","AwayW","AwayL","HomeD","HomeW","AwayW","HomeW","HomeD","AwayL","HomeW","HomeD","AwayD","3","3","1","0","0","1","3","1","1","1","3","0","3","3","0","1","0","3","3","0","1","0","3","0","1","3","3","3","0","1","3","3","3","1","0","3","1","1"
"Man City","AwayW","HomeW","AwayW","HomeW","AwayW","HomeL","AwayL","HomeW","HomeW","AwayD","HomeW","AwayD","HomeL","HomeW","AwayL","HomeW","AwayL","HomeW","AwayD","AwayW","HomeD","HomeW","AwayD","AwayW","HomeL","HomeL","AwayL","HomeW","AwayD","HomeL","AwayW","HomeW","AwayW","AwayD","HomeW","AwayL","HomeD","AwayD","3","3","3","3","3","0","0","3","3","1","3","1","0","3","0","3","0","3","1","3","1","3","1","3","0","0","0","3","1","0","3","3","3","1","3","0","1","1"
"Man United","HomeW","AwayW","HomeD","AwayL","HomeW","AwayW","HomeW","AwayL","AwayW","HomeD","AwayD","HomeW","AwayW","AwayD","HomeD","AwayL","HomeL","AwayL","HomeD","HomeW","AwayD","AwayW","HomeL","HomeW","AwayD","AwayL","HomeW","HomeW","AwayL","AwayW","HomeW","AwayL","HomeW","HomeW","HomeD","AwayW","AwayL","HomeW","3","3","1","0","3","3","3","0","3","1","1","3","3","1","1","0","0","0","1","3","1","3","0","3","1","0","3","3","0","3","3","0","3","3","1","3","0","3"
"Newcastle","HomeD","AwayL","AwayD","HomeL","AwayL","HomeL","HomeD","AwayL","HomeW","AwayL","HomeD","AwayW","HomeL","AwayL","HomeW","AwayW","HomeD","HomeL","AwayL","AwayL","HomeD","HomeW","AwayL","AwayL","HomeW","AwayL","AwayL","HomeL","AwayL","HomeD","AwayL","AwayL","HomeW","HomeD","AwayD","HomeW","AwayD","HomeW","1","0","1","0","0","0","1","0","3","0","1","3","0","0","3","3","1","0","0","0","1","3","0","0","3","0","0","0","0","1","0","0","3","1","1","3","1","3"
"Norwich","HomeL","AwayW","HomeD","AwayL","HomeW","AwayD","AwayD","HomeL","AwayL","HomeL","AwayL","HomeW","AwayL","HomeD","AwayL","HomeD","AwayW","AwayL","HomeW","HomeW","AwayL","AwayL","HomeL","HomeL","AwayL","HomeD","AwayL","HomeL","AwayL","HomeD","AwayW","HomeW","AwayL","HomeL","AwayL","HomeL","HomeW","AwayL","0","3","1","0","3","1","1","0","0","0","0","3","0","1","0","1","3","0","3","3","0","0","0","0","0","1","0","0","0","1","3","3","0","0","0","0","3","0"
"Southampton","AwayD","HomeL","AwayD","HomeW","AwayD","HomeL","HomeW","AwayW","HomeD","AwayD","HomeW","AwayW","HomeL","AwayL","HomeD","AwayL","HomeL","HomeW","AwayL","AwayL","HomeW","HomeW","AwayW","AwayD","HomeW","AwayW","HomeL","AwayL","HomeD","AwayW","HomeW","AwayL","HomeW","AwayD","AwayW","HomeW","AwayW","HomeW","1","0","1","3","1","0","3","3","1","1","3","3","0","0","1","0","0","3","0","0","3","3","3","1","3","3","0","0","1","3","3","0","3","1","3","3","3","3"
"Stoke","HomeL","AwayD","AwayD","HomeL","AwayL","HomeD","HomeW","AwayW","AwayW","HomeL","AwayD","HomeW","AwayW","AwayL","HomeW","AwayD","HomeL","HomeW","AwayW","AwayL","HomeW","HomeD","AwayL","AwayL","HomeL","AwayW","HomeW","HomeW","AwayD","HomeL","AwayW","HomeD","AwayL","HomeL","AwayL","HomeD","AwayL","HomeW","0","1","1","0","0","1","3","3","3","0","1","3","3","0","3","1","0","3","3","0","3","1","0","0","0","3","3","3","1","0","3","1","0","0","0","1","0","3"
"Sunderland","AwayL","HomeL","HomeD","AwayD","HomeL","AwayL","AwayL","HomeD","AwayL","HomeW","AwayL","HomeL","AwayW","HomeW","AwayL","HomeL","AwayL","AwayL","HomeL","HomeW","AwayW","AwayL","HomeD","HomeL","AwayD","HomeW","AwayL","HomeD","AwayD","AwayD","HomeD","HomeL","AwayW","HomeD","AwayD","HomeW","HomeW","AwayD","0","0","1","1","0","0","0","1","0","3","0","0","3","3","0","0","0","0","0","3","3","0","1","0","1","3","0","1","1","1","1","0","3","1","1","3","3","1"
"Swansea","AwayD","HomeW","AwayD","HomeW","AwayL","HomeD","AwayL","HomeD","HomeL","AwayW","HomeL","AwayL","HomeD","AwayL","HomeL","AwayL","HomeD","HomeW","AwayD","AwayL","HomeL","HomeW","AwayW","AwayD","HomeD","HomeL","AwayL","AwayW","HomeW","AwayL","HomeW","AwayD","HomeW","AwayL","AwayL","HomeW","AwayW","HomeD","1","3","1","3","0","1","0","1","0","3","0","0","1","0","0","0","1","3","1","0","0","3","3","1","1","0","0","3","3","0","3","1","3","0","0","3","3","1"
"Tottenham","AwayL","HomeD","AwayD","HomeD","AwayW","HomeW","HomeW","AwayD","HomeD","AwayW","HomeW","AwayD","HomeW","HomeD","AwayD","HomeL","AwayW","HomeW","AwayW","AwayD","HomeL","HomeW","AwayW","AwayW","HomeW","AwayW","HomeW","AwayL","HomeD","AwayW","HomeW","AwayD","HomeW","AwayW","HomeD","AwayD","HomeL","AwayL","0","1","1","1","3","3","3","1","1","3","3","1","3","1","1","0","3","3","3","1","0","3","3","3","3","3","3","0","1","3","3","1","3","3","1","1","0","0"
"Watford","AwayD","HomeD","HomeD","AwayL","HomeW","AwayW","HomeL","AwayD","HomeL","AwayW","HomeW","AwayL","HomeL","AwayW","HomeW","AwayW","HomeW","AwayD","HomeL","HomeL","AwayL","AwayL","HomeW","HomeD","AwayL","AwayW","HomeD","AwayL","HomeL","HomeL","AwayL","HomeD","AwayW","AwayL","HomeW","AwayL","AwayL","HomeD","1","1","1","0","3","3","0","1","0","3","3","0","0","3","3","3","3","1","0","0","0","0","3","1","0","3","1","0","0","0","0","1","3","0","3","0","0","1"
"West Brom","HomeL","AwayD","HomeL","AwayW","HomeD","AwayW","HomeL","AwayL","HomeW","AwayW","HomeL","AwayL","HomeW","AwayD","HomeD","AwayD","HomeL","AwayL","HomeW","HomeW","AwayD","AwayL","HomeD","HomeD","AwayL","AwayW","HomeW","AwayD","HomeW","HomeL","AwayD","AwayL","HomeL","AwayL","AwayD","HomeL","AwayD","HomeD","0","1","0","3","1","3","0","0","3","3","0","0","3","1","1","1","0","0","3","3","1","0","1","1","0","3","3","1","3","0","1","0","0","0","1","0","1","1"
"West Ham","AwayW","HomeL","HomeL","AwayW","HomeW","AwayW","HomeD","AwayD","AwayW","HomeW","AwayL","HomeD","AwayL","HomeD","AwayD","HomeD","AwayD","AwayD","HomeW","HomeW","AwayW","AwayL","HomeD","HomeW","AwayL","AwayD","HomeW","HomeW","AwayW","AwayD","HomeD","HomeD","AwayD","HomeW","AwayW","HomeL","HomeW","AwayL","3","0","0","3","3","3","1","1","3","3","0","1","0","1","1","1","1","1","3","3","3","0","1","3","0","1","3","3","3","1","1","1","1","3","3","0","3","0"
