"Club","M1Results","M2Results","M3Results","M4Results","M5Results","M6Results","M7Results","M8Results","M9Results","M10Results","M11Results","M12Results","M13Results","M14Results","M15Results","M16Results","M17Results","M18Results","M19Results","M20Results","M21Results","M22Results","M23Results","M24Results","M25Results","M26Results","M27Results","M28Results","M29Results","M30Results","M31Results","M32Results","M33Results","M34Results","M35Results","M36Results","M37Results","M38Results","M1Points","M2Points","M3Points","M4Points","M5Points","M6Points","M7Points","M8Points","M9Points","M10Points","M11Points","M12Points","M13Points","M14Points","M15Points","M16Points","M17Points","M18Points","M19Points","M20Points","M21Points","M22Points","M23Points","M24Points","M25Points","M26Points","M27Points","M28Points","M29Points","M30Points","M31Points","M32Points","M33Points","M34Points","M35Points","M36Points","M37Points","M38Points"
"Arsenal","AwayD","HomeW","AwayW","HomeW","AwayD","HomeL","AwayL","HomeW","AwayW","HomeW","HomeL","AwayW","AwayW","HomeL","AwayW","HomeW","AwayL","HomeW","AwayD","AwayW","HomeD","AwayW","HomeW","HomeW","AwayD","HomeW","HomeW","HomeD","AwayD","HomeD","AwayW","HomeD","AwayD","AwayL","HomeW","AwayL","HomeL","AwayD","1","3","3","3","1","0","0","3","3","3","0","3","3","0","3","3","0","3","1","3","1","3","3","3","1","3","3","1","1","1","3","1","1","0","3","0","0","1"
"Aston Villa","HomeW","AwayL","HomeW","AwayL","HomeD","AwayW","AwayL","HomeD","AwayL","HomeD","AwayD","HomeW","HomeD","AwayL","HomeL","AwayL","HomeW","HomeL","AwayL","AwayD","HomeL","AwayD","HomeW","AwayW","AwayL","HomeD","AwayD","HomeW","AwayL","HomeL","AwayD","HomeW","AwayW","HomeD","AwayL","HomeD","AwayW","HomeW","3","0","3","0","1","3","0","1","0","1","1","3","1","0","0","0","3","0","0","1","0","1","3","3","0","1","1","3","0","0","1","3","3","1","0","1","3","3"
"Birmingham","AwayD","HomeW","AwayD","HomeD","AwayL","HomeD","HomeL","AwayL","HomeW","AwayD","HomeD","AwayL","AwayD","HomeW","AwayD","HomeD","AwayL","HomeD","HomeL","AwayW","HomeD","AwayL","HomeD","AwayW","HomeW","HomeL","HomeL","AwayD","AwayL","HomeW","AwayD","HomeW","AwayL","AwayL","HomeD","AwayL","HomeL","AwayL","1","3","1","1","0","1","0","0","3","1","1","0","1","3","1","1","0","1","0","3","1","0","1","3","3","0","0","1","0","3","1","3","0","0","1","0","0","0"
"Blackburn","HomeW","AwayL","HomeL","AwayD","HomeD","AwayW","AwayL","HomeD","AwayL","HomeL","HomeW","AwayW","AwayL","HomeW","AwayL","HomeW","AwayL","HomeD","HomeL","AwayW","AwayL","HomeW","AwayL","HomeW","HomeL","AwayL","HomeD","AwayL","AwayL","HomeD","AwayD","HomeD","AwayL","HomeL","HomeW","AwayD","HomeD","AwayW","3","0","0","1","1","3","0","1","0","0","3","3","0","3","0","3","0","1","0","3","0","3","0","3","0","0","1","0","0","1","1","1","0","0","3","1","1","3"
"Blackpool","AwayW","AwayL","HomeD","AwayW","AwayL","HomeL","AwayW","HomeL","AwayL","HomeW","HomeD","AwayL","AwayD","HomeW","AwayD","AwayW","AwayW","AwayL","HomeL","HomeW","AwayL","HomeL","HomeL","HomeL","AwayL","HomeD","HomeW","AwayL","HomeL","AwayD","AwayL","HomeL","HomeL","HomeD","HomeD","AwayD","HomeW","AwayL","3","0","1","3","0","0","3","0","0","3","1","0","1","3","1","3","3","0","0","3","0","0","0","0","0","1","3","0","0","1","0","0","0","1","1","1","3","0"
"Bolton","HomeD","AwayW","HomeD","AwayL","AwayD","HomeD","AwayD","HomeW","AwayD","HomeL","HomeW","AwayD","AwayW","HomeW","HomeD","AwayL","HomeW","AwayL","HomeW","AwayL","AwayL","HomeD","AwayL","HomeL","HomeW","AwayL","HomeW","AwayD","HomeW","AwayL","AwayL","HomeW","HomeW","AwayL","AwayL","HomeL","AwayL","HomeL","1","3","1","0","1","1","1","3","1","0","3","1","3","3","1","0","3","0","3","0","0","1","0","0","3","0","3","1","3","0","0","3","3","0","0","0","0","0"
"Chelsea","HomeW","AwayW","HomeW","AwayW","HomeW","AwayL","HomeW","AwayD","HomeW","AwayW","AwayL","HomeW","HomeL","AwayL","AwayD","HomeD","AwayD","AwayL","HomeW","HomeD","AwayL","HomeW","AwayW","AwayW","HomeL","AwayD","HomeW","AwayW","HomeW","AwayD","HomeW","AwayW","HomeW","HomeW","HomeW","AwayL","HomeD","AwayL","3","3","3","3","3","0","3","1","3","3","0","3","0","0","1","1","1","0","3","1","0","3","3","3","0","1","3","3","3","1","3","3","3","3","3","0","1","0"
"Everton","AwayL","HomeD","AwayL","HomeD","HomeL","AwayD","AwayW","HomeW","AwayD","HomeW","AwayD","HomeD","HomeL","AwayD","HomeL","AwayD","HomeD","AwayW","AwayD","AwayL","HomeW","AwayD","HomeD","AwayL","HomeW","AwayL","HomeW","AwayW","HomeD","HomeW","HomeD","AwayW","HomeW","AwayL","AwayD","HomeW","AwayL","HomeW","0","1","0","1","0","1","3","3","1","3","1","1","0","1","0","1","1","3","1","0","3","1","1","0","3","0","3","3","1","3","1","3","3","0","1","3","0","3"
"Fulham","AwayD","HomeD","AwayD","HomeW","AwayD","HomeD","AwayD","HomeL","AwayL","HomeW","HomeD","AwayL","AwayD","HomeL","HomeD","AwayL","HomeD","HomeL","AwayW","AwayL","HomeW","AwayD","HomeW","AwayL","HomeW","AwayD","HomeD","AwayD","HomeW","AwayL","HomeW","AwayL","AwayD","HomeW","AwayW","HomeL","AwayW","HomeD","1","1","1","3","1","1","1","0","0","3","1","0","1","0","1","0","1","0","3","0","3","1","3","0","3","1","1","1","3","0","3","0","1","3","3","0","3","1"
"Liverpool","HomeD","AwayL","HomeW","AwayD","AwayL","HomeD","HomeL","AwayL","HomeW","AwayW","HomeW","AwayD","AwayL","HomeW","AwayL","HomeW","AwayL","HomeL","HomeW","AwayL","AwayL","HomeD","AwayW","HomeW","HomeW","AwayW","HomeD","AwayL","HomeW","AwayW","AwayL","HomeW","AwayD","HomeW","HomeW","AwayW","HomeL","AwayL","1","0","3","1","0","1","0","0","3","3","3","1","0","3","0","3","0","0","3","0","0","1","3","3","3","3","1","0","3","3","0","3","1","3","3","3","0","0"
"Man City","AwayD","HomeW","AwayL","HomeD","AwayW","HomeW","HomeW","AwayW","HomeL","AwayL","AwayW","HomeD","HomeD","AwayW","AwayD","HomeW","AwayW","HomeL","AwayW","HomeW","HomeW","AwayD","HomeW","AwayL","AwayD","HomeW","AwayL","HomeD","HomeW","AwayL","HomeW","AwayL","AwayW","HomeW","AwayL","HomeW","HomeW","AwayW","1","3","0","1","3","3","3","3","0","0","3","1","1","3","1","3","3","0","3","3","3","1","3","0","1","3","0","1","3","0","3","0","3","3","0","3","3","3"
"Man United","HomeW","AwayD","HomeW","AwayD","HomeW","AwayD","AwayD","HomeD","AwayW","HomeW","HomeW","AwayD","AwayD","HomeW","HomeW","HomeW","HomeW","AwayD","AwayW","HomeW","AwayD","HomeW","AwayW","HomeW","AwayL","HomeW","AwayW","AwayL","AwayL","HomeW","AwayW","HomeW","AwayD","HomeW","AwayL","HomeW","AwayD","HomeW","3","1","3","1","3","1","1","1","3","3","3","1","1","3","3","3","3","1","3","3","1","3","3","3","0","3","3","0","0","3","3","3","1","3","0","3","1","3"
"Newcastle","AwayL","HomeW","AwayD","HomeL","AwayW","HomeL","AwayL","HomeD","AwayW","HomeW","AwayW","HomeL","HomeD","AwayL","HomeD","AwayL","HomeW","HomeL","AwayL","AwayW","HomeW","AwayD","HomeD","AwayL","HomeD","AwayD","AwayW","HomeD","HomeL","AwayL","HomeW","AwayL","HomeD","AwayD","AwayL","HomeW","AwayD","HomeD","0","3","1","0","3","0","0","1","3","3","3","0","1","0","1","0","3","0","0","3","3","1","1","0","1","1","3","1","0","0","3","0","1","1","0","3","1","1"
"Stoke","AwayL","HomeL","AwayL","HomeW","HomeD","AwayW","HomeW","AwayL","HomeL","AwayL","AwayL","HomeW","HomeW","AwayW","HomeD","AwayD","HomeL","AwayW","HomeL","HomeW","AwayL","HomeW","AwayL","AwayL","HomeW","AwayL","AwayL","HomeD","AwayL","HomeW","HomeD","AwayL","AwayD","HomeW","AwayD","HomeW","AwayL","HomeL","0","0","0","3","1","3","3","0","0","0","0","3","3","3","1","1","0","3","0","3","0","3","0","0","3","0","0","1","0","3","1","0","1","3","1","3","0","0"
"Sunderland","HomeD","AwayL","HomeW","AwayD","HomeD","AwayD","HomeD","AwayD","HomeW","AwayL","HomeW","AwayD","AwayW","HomeD","AwayL","HomeW","AwayD","HomeW","AwayL","HomeL","HomeW","AwayW","HomeD","AwayW","HomeL","AwayL","HomeL","AwayL","AwayD","HomeL","AwayL","HomeL","AwayL","HomeW","HomeL","AwayW","HomeL","AwayW","1","0","3","1","1","1","1","1","3","0","3","1","3","1","0","3","1","3","0","0","3","3","1","3","0","0","0","0","1","0","0","0","0","3","0","3","0","3"
