"Club","M1Results","M2Results","M3Results","M4Results","M5Results","M6Results","M7Results","M8Results","M9Results","M10Results","M11Results","M12Results","M13Results","M14Results","M15Results","M16Results","M17Results","M18Results","M19Results","M20Results","M21Results","M22Results","M23Results","M24Results","M25Results","M26Results","M27Results","M28Results","M29Results","M30Results","M31Results","M32Results","M33Results","M34Results","M35Results","M36Results","M37Results","M38Results","M1Points","M2Points","M3Points","M4Points","M5Points","M6Points","M7Points","M8Points","M9Points","M10Points","M11Points","M12Points","M13Points","M14Points","M15Points","M16Points","M17Points","M18Points","M19Points","M20Points","M21Points","M22Points","M23Points","M24Points","M25Points","M26Points","M27Points","M28Points","M29Points","M30Points","M31Points","M32Points","M33Points","M34Points","M35Points","M36Points","M37Points","M38Points"
"Man City","AwayW","HomeD","AwayW","HomeW","AwayL","HomeW","AwayW","HomeL","AwayW","HomeW","HomeW","AwayL","HomeW","AwayD","AwayW","HomeL","AwayW","HomeW","AwayL","HomeW","HomeW","AwayW","HomeD","AwayW","AwayL","HomeW","AwayW","AwayL","HomeW","HomeW","AwayL","HomeW","AwayL","HomeW","AwayW","HomeW","AwayW","HomeW","3","1","3","3","0","3","3","0","3","3","3","0","3","1","3","0","3","3","0","3","3","3","1","3","0","3","3","0","3","3","0","3","0","3","3","3","3","3"
"Man United","HomeW","AwayD","HomeL","AwayD","HomeW","AwayL","HomeD","AwayL","HomeD","AwayW","AwayL","HomeW","AwayD","HomeD","HomeW","AwayW","HomeD","AwayL","HomeW","AwayW","AwayL","HomeW","AwayL","HomeL","HomeD","AwayW","HomeW","AwayD","HomeW","AwayD","HomeW","AwayW","HomeW","AwayW","HomeD","AwayW","HomeD","AwayW","3","1","0","1","3","0","1","0","1","3","0","3","1","1","3","3","1","0","3","3","0","3","0","0","1","3","3","1","3","1","3","3","3","3","1","3","1","3"
"Newcastle","HomeL","AwayL","AwayW","HomeD","AwayL","HomeD","AwayL","HomeW","AwayL","HomeD","AwayW","HomeW","AwayL","HomeD","AwayW","HomeW","AwayL","HomeW","AwayL","HomeL","HomeL","AwayD","HomeW","AwayD","HomeD","AwayL","AwayL","HomeD","AwayW","HomeW","HomeD","AwayW","HomeD","AwayL","AwayL","HomeL","AwayD","HomeL","0","0","3","1","0","1","0","3","0","1","3","3","0","1","3","3","0","3","0","0","0","1","3","1","1","0","0","1","3","3","1","3","1","0","0","0","1","0"
"Norwich","AwayL","HomeW","HomeL","AwayL","HomeW","AwayL","AwayL","HomeL","AwayD","HomeL","AwayL","HomeL","AwayW","HomeD","AwayL","HomeL","AwayD","HomeL","AwayL","HomeD","HomeD","AwayL","HomeW","AwayL","AwayD","HomeL","AwayL","HomeW","AwayL","HomeL","HomeL","AwayL","HomeL","AwayL","HomeL","AwayL","HomeL","AwayL","0","3","0","0","3","0","0","0","1","0","0","0","3","1","0","0","1","0","0","1","1","0","3","0","1","0","0","3","0","0","0","0","0","0","0","0","0","0"
"Sheffield United","AwayD","HomeW","HomeL","AwayD","HomeL","AwayW","HomeL","AwayD","HomeW","AwayD","HomeW","AwayD","HomeD","AwayD","HomeL","AwayW","HomeW","AwayW","HomeD","AwayL","AwayL","HomeW","AwayD","HomeL","AwayW","HomeW","HomeD","HomeW","AwayD","AwayL","AwayL","HomeW","AwayD","HomeW","HomeW","AwayL","HomeL","AwayL","1","3","0","1","0","3","0","1","3","1","3","1","1","1","0","3","3","3","1","0","0","3","1","0","3","3","1","3","1","0","0","3","1","3","3","0","0","0"
"Southampton","AwayL","HomeL","AwayW","HomeD","AwayW","HomeL","AwayL","HomeL","AwayD","HomeL","AwayL","HomeL","AwayD","HomeW","HomeW","AwayL","HomeL","AwayW","AwayW","HomeD","HomeW","AwayW","HomeL","AwayW","AwayL","HomeL","HomeW","AwayL","HomeL","AwayW","HomeL","AwayW","HomeW","AwayD","AwayD","HomeD","AwayW","HomeW","0","0","3","1","3","0","0","0","1","0","0","0","1","3","3","0","0","3","3","1","3","3","0","3","0","0","3","0","0","3","0","3","3","1","1","1","3","3"
"Tottenham","HomeW","AwayD","HomeL","AwayD","HomeW","AwayL","HomeW","AwayL","HomeD","AwayL","AwayD","HomeD","AwayW","HomeW","AwayL","HomeW","AwayW","HomeL","HomeW","AwayD","AwayL","HomeL","AwayD","HomeW","HomeW","AwayW","AwayL","HomeL","AwayD","HomeD","HomeW","AwayL","HomeW","AwayD","HomeW","AwayW","HomeW","AwayD","3","1","0","1","3","0","3","0","1","0","1","1","3","3","0","3","3","0","3","1","0","0","1","3","3","3","0","0","1","1","3","0","3","1","3","3","3","1"
"Watford","HomeL","AwayL","HomeL","AwayD","HomeD","AwayL","AwayL","HomeD","AwayD","HomeD","HomeL","AwayW","HomeL","AwayL","AwayL","HomeD","AwayL","HomeW","AwayD","HomeW","HomeW","AwayW","HomeD","AwayL","HomeL","AwayD","AwayL","HomeW","AwayL","HomeD","AwayL","HomeL","AwayL","HomeW","HomeW","AwayL","HomeL","AwayL","0","0","0","1","1","0","0","1","1","1","0","3","0","0","0","1","0","3","1","3","3","3","1","0","0","1","0","3","0","1","0","0","0","3","3","0","0","0"
"West Ham","HomeL","AwayD","AwayW","HomeW","AwayD","HomeW","AwayD","HomeL","AwayL","HomeD","HomeL","AwayL","HomeL","AwayW","AwayL","HomeL","AwayW","AwayL","HomeL","HomeW","AwayL","HomeD","AwayL","HomeL","HomeD","AwayL","AwayL","HomeW","AwayL","HomeL","AwayL","HomeW","AwayD","HomeL","AwayW","HomeW","AwayD","HomeD","0","1","3","3","1","3","1","0","0","1","0","0","0","3","0","0","3","0","0","3","0","1","0","0","1","0","0","3","0","0","0","3","1","0","3","3","1","1"
"Wolves","AwayD","HomeD","HomeD","AwayL","HomeL","AwayD","HomeW","AwayW","HomeD","AwayD","AwayD","HomeW","AwayW","HomeD","HomeW","AwayD","HomeL","AwayW","HomeW","AwayL","AwayL","HomeD","AwayW","HomeL","AwayD","HomeD","HomeW","AwayW","HomeD","AwayW","HomeW","AwayW","HomeL","AwayL","HomeW","AwayD","HomeW","AwayL","1","1","1","0","0","1","3","3","1","1","1","3","3","1","3","1","0","3","3","0","0","1","3","0","1","1","3","3","1","3","3","3","0","0","3","1","3","0"
