"Club","M1Results","M2Results","M3Results","M4Results","M5Results","M6Results","M7Results","M8Results","M9Results","M10Results","M11Results","M12Results","M13Results","M14Results","M15Results","M16Results","M17Results","M18Results","M19Results","M20Results","M21Results","M22Results","M23Results","M24Results","M25Results","M26Results","M27Results","M28Results","M29Results","M30Results","M31Results","M32Results","M33Results","M34Results","M35Results","M36Results","M37Results","M38Results","M1Points","M2Points","M3Points","M4Points","M5Points","M6Points","M7Points","M8Points","M9Points","M10Points","M11Points","M12Points","M13Points","M14Points","M15Points","M16Points","M17Points","M18Points","M19Points","M20Points","M21Points","M22Points","M23Points","M24Points","M25Points","M26Points","M27Points","M28Points","M29Points","M30Points","M31Points","M32Points","M33Points","M34Points","M35Points","M36Points","M37Points","M38Points"
"Arsenal","HomeD","AwayD","AwayW","HomeW","AwayD","HomeL","AwayW","AwayL","HomeW","AwayL","HomeD","HomeW","AwayD","AwayD","HomeL","HomeW","AwayW","AwayW","HomeW","AwayD","HomeL","AwayL","HomeW","HomeD","HomeW","AwayW","HomeW","AwayL","AwayW","HomeW","AwayW","HomeW","HomeD","AwayW","HomeD","AwayW","HomeW","AwayW","1","1","3","3","1","0","3","0","3","0","1","3","1","1","0","3","3","3","3","1","0","0","3","1","3","3","3","0","3","3","3","3","1","3","1","3","3","3"
"Aston Villa","AwayL","HomeL","AwayD","HomeW","AwayL","HomeD","AwayL","AwayL","HomeD","AwayW","HomeL","AwayL","HomeD","HomeW","AwayD","HomeD","AwayW","AwayL","HomeL","HomeL","AwayD","HomeL","AwayD","HomeL","AwayD","HomeW","AwayL","HomeL","AwayW","HomeW","HomeL","AwayW","HomeD","AwayL","HomeW","AwayW","HomeL","AwayD","0","0","1","3","0","1","0","0","1","3","0","0","1","3","1","1","3","0","0","0","1","0","1","0","1","3","0","0","3","3","0","3","1","0","3","3","0","1"
"Chelsea","AwayW","HomeW","HomeW","AwayD","HomeW","AwayW","HomeW","AwayW","HomeL","AwayD","HomeD","AwayL","HomeD","HomeD","AwayL","AwayW","HomeW","AwayW","AwayW","HomeL","AwayW","HomeD","HomeW","AwayD","AwayL","HomeW","AwayL","HomeW","HomeW","AwayL","HomeW","AwayW","AwayD","HomeW","AwayW","HomeD","AwayW","HomeW","3","3","3","1","3","3","3","3","0","1","1","0","1","1","0","3","3","3","3","0","3","1","3","1","0","3","0","3","3","0","3","3","1","3","3","1","3","3"
"Everton","HomeW","AwayW","AwayL","HomeD","AwayW","HomeW","AwayD","AwayD","HomeD","AwayD","HomeW","AwayL","HomeD","HomeD","AwayD","HomeW","AwayD","AwayW","HomeW","HomeL","AwayW","HomeD","AwayD","HomeW","HomeD","AwayL","AwayL","HomeW","HomeW","HomeW","AwayD","HomeW","AwayD","AwayL","HomeW","AwayD","HomeW","AwayL","3","3","0","1","3","3","1","1","1","1","3","0","1","1","1","3","1","3","3","0","3","1","1","3","1","0","0","3","3","3","1","3","1","0","3","1","3","0"
"Fulham","HomeW","AwayL","AwayL","HomeW","AwayW","HomeL","AwayD","HomeW","AwayD","HomeD","AwayD","HomeL","AwayL","AwayD","HomeL","HomeW","AwayL","AwayL","HomeD","HomeL","AwayW","HomeD","AwayL","HomeW","HomeL","AwayD","HomeW","AwayD","AwayW","HomeW","AwayL","AwayD","HomeL","HomeL","AwayL","HomeL","HomeL","AwayW","3","0","0","3","3","0","1","3","1","1","1","0","0","1","0","3","0","0","1","0","3","1","0","3","0","1","3","1","3","3","0","1","0","0","0","0","0","3"
"Liverpool","AwayL","HomeD","HomeL","AwayD","HomeL","AwayW","HomeD","HomeW","AwayD","HomeD","AwayD","HomeW","AwayD","AwayL","HomeW","AwayW","HomeL","HomeW","AwayL","AwayW","HomeW","AwayL","HomeW","AwayD","AwayD","HomeL","HomeW","AwayW","HomeW","AwayL","AwayW","HomeD","AwayD","HomeD","AwayW","HomeD","AwayW","HomeW","0","1","0","1","0","3","1","3","1","1","1","3","1","0","3","3","0","3","0","3","3","0","3","1","1","0","3","3","3","0","3","1","1","1","3","1","3","3"
"Man City","HomeW","AwayD","HomeW","AwayD","HomeD","AwayW","HomeW","AwayW","HomeW","AwayD","HomeW","HomeW","AwayD","AwayW","HomeD","HomeL","AwayW","HomeW","AwayL","AwayW","HomeW","AwayW","HomeW","AwayD","HomeD","AwayL","HomeW","AwayW","AwayL","HomeW","AwayW","HomeW","AwayL","HomeW","AwayD","HomeW","AwayW","HomeL","3","1","3","1","1","3","3","3","3","1","3","3","1","3","1","0","3","3","0","3","3","3","3","1","1","0","3","3","0","3","3","3","0","3","1","3","3","0"
"Man United","AwayL","HomeW","AwayW","HomeW","AwayW","HomeL","AwayW","HomeW","AwayW","HomeW","AwayW","AwayL","HomeW","HomeW","AwayW","AwayW","HomeW","AwayD","HomeW","HomeW","AwayW","HomeW","AwayD","HomeW","AwayW","HomeW","AwayW","HomeW","HomeW","AwayW","HomeL","AwayW","AwayD","HomeW","AwayD","HomeL","HomeW","AwayD","0","3","3","3","3","0","3","3","3","3","3","0","3","3","3","3","3","1","3","3","3","3","1","3","3","3","3","3","3","3","0","3","1","3","1","0","3","1"
"Newcastle","HomeW","AwayL","HomeD","AwayD","HomeW","AwayD","HomeL","AwayD","HomeW","AwayD","HomeL","HomeL","AwayL","AwayL","HomeW","AwayL","HomeL","HomeW","AwayL","AwayL","HomeL","AwayD","HomeL","AwayW","HomeW","AwayL","HomeW","AwayL","HomeW","AwayL","AwayL","HomeW","HomeL","AwayD","HomeL","AwayD","AwayW","HomeL","3","0","1","1","3","1","0","1","3","1","0","0","0","0","3","0","0","3","0","0","0","1","0","3","3","0","3","0","3","0","0","3","0","1","0","1","3","0"
"Norwich","AwayL","HomeD","AwayD","HomeD","AwayL","HomeL","AwayL","HomeW","AwayD","HomeW","AwayD","HomeW","AwayD","AwayD","HomeW","AwayW","HomeW","AwayL","HomeL","HomeL","AwayL","HomeD","AwayL","HomeD","AwayD","HomeD","HomeW","AwayL","HomeD","AwayD","AwayL","HomeD","AwayL","HomeW","AwayL","HomeL","HomeW","AwayW","0","1","1","1","0","0","0","3","1","3","1","3","1","1","3","3","3","0","0","0","0","1","0","1","1","1","3","0","1","1","0","1","0","3","0","0","3","3"
