"Club","M1Results","M2Results","M3Results","M4Results","M5Results","M6Results","M7Results","M8Results","M9Results","M10Results","M11Results","M12Results","M13Results","M14Results","M15Results","M16Results","M17Results","M18Results","M19Results","M20Results","M21Results","M22Results","M23Results","M24Results","M25Results","M26Results","M27Results","M28Results","M29Results","M30Results","M31Results","M32Results","M33Results","M34Results","M35Results","M36Results","M37Results","M38Results","M1Points","M2Points","M3Points","M4Points","M5Points","M6Points","M7Points","M8Points","M9Points","M10Points","M11Points","M12Points","M13Points","M14Points","M15Points","M16Points","M17Points","M18Points","M19Points","M20Points","M21Points","M22Points","M23Points","M24Points","M25Points","M26Points","M27Points","M28Points","M29Points","M30Points","M31Points","M32Points","M33Points","M34Points","M35Points","M36Points","M37Points","M38Points"
"Arsenal","HomeW","AwayL","AwayL","HomeW","AwayD","HomeW","HomeW","AwayL","AwayW","HomeW","AwayL","HomeW","AwayW","HomeW","HomeL","AwayD","AwayD","HomeW","HomeD","AwayW","AwayD","HomeD","AwayL","HomeW","AwayL","HomeW","AwayL","HomeL","AwayL","HomeW","HomeW","HomeW","AwayL","HomeW","AwayL","HomeW","AwayL","AwayW","3","0","0","3","1","3","3","0","3","3","0","3","3","3","0","1","1","3","1","3","1","1","0","3","0","3","0","0","0","3","3","3","0","3","0","3","0","3"
"Bournemouth","AwayL","HomeL","HomeL","AwayL","HomeW","AwayL","HomeD","AwayL","AwayW","HomeL","AwayW","HomeW","AwayD","HomeL","HomeD","AwayD","AwayL","HomeL","AwayL","HomeD","HomeW","AwayD","HomeW","AwayD","AwayW","HomeW","AwayL","HomeD","AwayD","HomeL","HomeW","AwayD","HomeD","AwayL","HomeL","AwayL","HomeW","AwayW","0","0","0","0","3","0","1","0","3","0","3","3","1","0","1","1","0","0","0","1","3","1","3","1","3","3","0","1","1","0","3","1","1","0","0","0","3","3"
"Brighton","HomeL","AwayL","AwayD","HomeW","AwayL","HomeW","AwayL","HomeD","AwayW","HomeD","AwayW","HomeD","AwayL","HomeD","HomeL","AwayL","AwayL","HomeD","HomeW","AwayL","AwayD","HomeD","AwayL","HomeL","AwayD","HomeW","AwayD","HomeW","HomeW","AwayL","HomeL","HomeD","AwayL","HomeD","AwayD","HomeW","AwayL","AwayL","0","0","1","3","0","3","0","1","3","1","3","1","0","1","0","0","0","1","3","0","1","1","0","0","1","3","1","3","3","0","0","1","0","1","1","3","0","0"
"Burnley","AwayW","HomeL","AwayD","HomeW","AwayD","HomeD","AwayW","HomeD","AwayL","HomeW","AwayW","HomeW","HomeL","AwayW","AwayL","HomeW","HomeW","AwayD","HomeL","AwayD","AwayD","HomeL","AwayL","HomeL","AwayD","HomeD","AwayL","HomeD","HomeW","AwayW","AwayW","AwayW","HomeW","HomeL","AwayD","HomeD","AwayL","HomeL","3","0","1","3","1","1","3","1","0","3","3","3","0","3","0","3","3","1","0","1","1","0","0","0","1","1","0","1","3","3","3","3","3","0","1","1","0","0"
"Chelsea","HomeL","AwayW","HomeW","AwayW","HomeD","AwayW","HomeL","AwayL","HomeW","AwayW","HomeW","AwayW","AwayD","HomeW","HomeW","AwayL","AwayW","HomeW","AwayD","HomeW","HomeW","AwayD","HomeD","AwayW","HomeL","AwayL","HomeW","AwayL","AwayL","HomeW","HomeL","HomeD","AwayW","AwayW","AwayW","HomeW","HomeD","AwayL","0","3","3","3","1","3","0","0","3","3","3","3","1","3","3","0","3","3","1","3","3","1","1","3","0","0","3","0","0","3","0","1","3","3","3","3","1","0"
"Crystal Palace","HomeL","AwayL","HomeL","AwayL","HomeL","AwayL","AwayL","HomeW","AwayL","HomeD","AwayL","HomeD","HomeW","AwayD","AwayD","HomeD","HomeW","AwayW","AwayD","HomeL","HomeD","AwayW","HomeW","AwayL","AwayD","HomeD","AwayL","HomeL","HomeL","AwayL","AwayW","HomeL","AwayD","HomeW","AwayD","HomeW","AwayW","HomeW","0","0","0","0","0","0","0","3","0","1","0","1","3","1","1","1","3","3","1","0","1","3","3","0","1","1","0","0","0","0","3","0","1","3","1","3","3","3"
"Everton","HomeW","AwayD","AwayL","HomeL","AwayL","HomeW","HomeL","AwayD","HomeL","AwayL","HomeW","AwayD","AwayL","HomeW","HomeW","AwayD","AwayW","HomeW","HomeD","AwayD","AwayL","HomeL","AwayL","HomeD","HomeW","AwayL","HomeW","AwayL","AwayL","HomeW","AwayW","HomeL","HomeD","AwayD","HomeW","AwayW","HomeD","AwayL","3","1","0","0","0","3","0","1","0","0","3","1","0","3","3","1","3","3","1","1","0","0","0","1","3","0","3","0","0","3","3","0","1","1","3","3","1","0"
"Huddersfield","AwayW","HomeW","HomeD","AwayL","HomeD","AwayD","HomeL","AwayL","HomeW","AwayL","HomeW","AwayL","HomeL","AwayL","AwayL","HomeW","HomeL","AwayW","AwayD","HomeD","HomeD","AwayL","HomeL","AwayL","HomeL","AwayL","HomeW","AwayW","AwayL","HomeD","HomeL","AwayL","AwayD","HomeW","HomeL","AwayD","AwayD","HomeL","3","3","1","0","1","1","0","0","3","0","3","0","0","0","0","3","0","3","1","1","1","0","0","0","0","0","3","3","0","1","0","0","1","3","0","1","1","0"
"Leicester","AwayL","HomeW","AwayL","HomeL","AwayD","HomeL","AwayD","HomeD","AwayW","HomeW","AwayD","HomeL","AwayD","HomeW","HomeW","AwayW","AwayW","HomeL","HomeD","AwayL","AwayL","HomeW","AwayD","HomeW","AwayL","HomeD","AwayL","HomeD","HomeD","AwayW","AwayW","HomeL","AwayL","HomeD","AwayL","HomeL","HomeW","AwayL","0","3","0","0","1","0","1","1","3","3","1","0","1","3","3","3","3","0","1","0","0","3","1","3","0","1","0","1","1","3","3","0","0","1","0","0","3","0"
"Liverpool","AwayD","HomeW","HomeW","AwayL","HomeD","AwayW","AwayD","HomeD","AwayL","HomeW","AwayW","HomeW","HomeD","AwayW","AwayW","HomeD","HomeD","AwayW","AwayD","HomeW","HomeW","AwayW","HomeW","AwayL","AwayW","HomeD","AwayW","HomeW","HomeW","AwayL","HomeW","AwayW","AwayD","HomeW","AwayD","HomeD","AwayL","HomeW","1","3","3","0","1","3","1","1","0","3","3","3","1","3","3","1","1","3","1","3","3","3","3","0","3","1","3","3","3","0","3","3","1","3","1","1","0","3"
"Man City","AwayW","HomeD","AwayW","HomeW","AwayW","HomeW","AwayW","HomeW","HomeW","AwayW","HomeW","AwayW","AwayW","HomeW","HomeW","AwayW","AwayW","HomeW","HomeW","AwayW","AwayD","HomeW","AwayL","HomeW","HomeW","AwayD","HomeW","AwayW","HomeW","AwayW","AwayW","HomeL","AwayW","HomeW","AwayW","HomeD","HomeW","AwayW","3","1","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","1","3","0","3","3","1","3","3","3","3","3","0","3","3","3","1","3","3"
"Man United","HomeW","AwayW","HomeW","AwayD","HomeW","AwayW","HomeW","AwayD","AwayL","HomeW","AwayL","HomeW","HomeW","AwayW","AwayW","HomeL","HomeW","AwayW","AwayD","HomeD","HomeD","AwayW","HomeW","AwayW","AwayL","HomeW","AwayL","HomeW","AwayW","HomeW","HomeW","AwayW","HomeL","AwayW","HomeW","AwayL","AwayD","HomeW","3","3","3","1","3","3","3","1","0","3","0","3","3","3","3","0","3","3","1","1","1","3","3","3","0","3","0","3","3","3","3","3","0","3","3","0","1","3"
"Newcastle","HomeL","AwayL","HomeW","AwayW","HomeW","AwayL","HomeD","AwayD","HomeW","AwayL","HomeL","AwayL","HomeL","AwayD","AwayL","HomeL","HomeL","AwayL","AwayW","HomeL","HomeD","AwayW","HomeD","AwayL","HomeD","AwayD","HomeW","AwayD","AwayL","HomeW","HomeW","AwayW","HomeW","AwayL","HomeL","AwayL","AwayL","HomeW","0","0","3","3","3","0","1","1","3","0","0","0","0","1","0","0","0","0","3","0","1","3","1","0","1","1","3","1","0","3","3","3","3","0","0","0","0","3"
"Southampton","HomeD","HomeW","AwayD","HomeL","AwayW","HomeL","AwayL","HomeD","HomeW","AwayD","HomeL","AwayL","HomeW","AwayL","AwayD","HomeD","HomeL","AwayL","HomeD","AwayL","AwayD","HomeL","AwayD","HomeD","HomeD","AwayW","HomeL","AwayD","HomeD","AwayL","AwayL","AwayL","HomeL","AwayD","HomeW","AwayD","AwayW","HomeL","1","3","1","0","3","0","0","1","3","1","0","0","3","0","1","1","0","0","1","0","1","0","1","1","1","3","0","1","1","0","0","0","0","1","3","1","3","0"
"Stoke","AwayL","HomeW","AwayD","HomeD","AwayL","HomeL","HomeW","AwayL","HomeL","AwayW","HomeD","AwayD","AwayL","HomeL","HomeW","AwayL","AwayL","HomeL","HomeW","AwayD","AwayL","HomeL","AwayL","HomeW","HomeD","AwayL","HomeD","AwayD","AwayD","HomeL","HomeL","AwayL","HomeL","AwayD","HomeD","AwayD","HomeL","AwayW","0","3","1","1","0","0","3","0","0","3","1","1","0","0","3","0","0","0","3","1","0","0","0","3","1","0","1","1","1","0","0","0","0","1","1","1","0","3"
"Swansea","AwayD","HomeL","AwayW","HomeL","AwayD","HomeL","AwayL","HomeW","HomeL","AwayL","HomeL","AwayL","HomeD","AwayL","AwayL","HomeW","HomeL","AwayL","HomeD","AwayL","AwayW","HomeL","AwayD","HomeW","HomeW","AwayD","HomeW","AwayL","HomeW","AwayD","AwayL","AwayD","HomeD","AwayL","HomeL","AwayL","HomeL","HomeL","1","0","3","0","1","0","0","3","0","0","0","0","1","0","0","3","0","0","1","0","3","0","1","3","3","1","3","0","3","1","0","1","1","0","0","0","0","0"
"Tottenham","AwayW","HomeL","HomeD","AwayW","HomeD","AwayW","AwayW","HomeW","HomeW","AwayL","HomeW","AwayL","HomeD","AwayL","AwayD","HomeW","HomeW","AwayL","AwayW","HomeW","AwayW","HomeD","HomeW","AwayD","HomeW","AwayD","HomeW","AwayW","HomeW","AwayW","AwayW","AwayW","HomeL","AwayD","HomeW","AwayL","HomeW","HomeW","3","0","1","3","1","3","3","3","3","0","3","0","1","0","1","3","3","0","3","3","3","1","3","1","3","1","3","3","3","3","3","3","0","1","3","0","3","3"
"Watford","HomeD","AwayW","HomeD","AwayW","HomeL","AwayW","AwayD","HomeW","AwayL","HomeL","AwayL","HomeW","AwayW","HomeL","HomeD","AwayL","AwayL","HomeL","AwayL","HomeW","HomeL","AwayL","HomeD","AwayL","AwayD","HomeW","AwayL","HomeW","HomeW","AwayL","AwayL","HomeD","HomeL","AwayL","HomeD","AwayL","HomeW","AwayL","1","3","1","3","0","3","1","3","0","0","0","3","3","0","1","0","0","0","0","3","0","0","1","0","1","3","0","3","3","0","0","1","0","0","1","0","3","0"
"West Brom","HomeW","AwayW","HomeD","AwayL","HomeD","AwayL","HomeD","AwayD","AwayL","HomeL","AwayL","HomeL","AwayD","HomeD","HomeD","AwayL","AwayD","HomeL","AwayL","HomeD","HomeD","AwayL","HomeW","AwayD","AwayL","HomeL","AwayL","HomeL","AwayL","HomeL","AwayL","HomeL","HomeD","AwayW","HomeD","AwayW","HomeW","AwayL","3","3","1","0","1","0","1","1","0","0","0","0","1","1","1","0","1","0","0","1","1","0","3","1","0","0","0","0","0","0","0","0","1","3","1","3","3","0"
"West Ham","AwayL","AwayL","AwayL","HomeW","AwayD","HomeL","HomeW","AwayD","HomeL","AwayD","HomeL","AwayL","HomeD","AwayL","AwayL","HomeW","HomeD","AwayW","HomeL","AwayD","HomeW","AwayD","AwayW","HomeD","HomeD","AwayL","HomeW","AwayL","AwayL","HomeL","HomeW","AwayD","HomeD","AwayL","HomeL","AwayW","HomeD","HomeW","0","0","0","3","1","0","3","1","0","1","0","0","1","0","0","3","1","3","0","1","3","1","3","1","1","0","3","0","0","0","3","1","1","0","0","3","1","3"
