"Club","M1Results","M2Results","M3Results","M4Results","M5Results","M6Results","M7Results","M8Results","M9Results","M10Results","M11Results","M12Results","M13Results","M14Results","M15Results","M16Results","M17Results","M18Results","M19Results","M20Results","M21Results","M22Results","M23Results","M24Results","M25Results","M26Results","M27Results","M28Results","M29Results","M30Results","M31Results","M32Results","M33Results","M34Results","M35Results","M36Results","M37Results","M38Results","M1Points","M2Points","M3Points","M4Points","M5Points","M6Points","M7Points","M8Points","M9Points","M10Points","M11Points","M12Points","M13Points","M14Points","M15Points","M16Points","M17Points","M18Points","M19Points","M20Points","M21Points","M22Points","M23Points","M24Points","M25Points","M26Points","M27Points","M28Points","M29Points","M30Points","M31Points","M32Points","M33Points","M34Points","M35Points","M36Points","M37Points","M38Points"
"Leicester","AwayL","HomeW","AwayW","HomeL","AwayL","HomeW","AwayW","HomeL","AwayL","HomeD","AwayW","HomeD","AwayD","HomeW","AwayD","HomeL","AwayL","AwayW","HomeW","HomeL","AwayW","HomeL","AwayL","AwayD","HomeL","AwayL","HomeL","HomeW","AwayL","HomeW","AwayW","HomeW","AwayW","HomeL","AwayD","HomeW","AwayL","HomeD","0","3","3","0","0","3","3","0","0","1","3","1","1","3","1","0","0","3","3","0","3","0","0","1","0","0","0","3","0","3","3","3","3","0","1","3","0","1"
"Liverpool","HomeW","AwayW","HomeW","AwayW","AwayW","HomeW","AwayD","HomeD","AwayW","HomeW","AwayD","HomeW","AwayW","HomeW","AwayW","AwayW","HomeW","AwayW","HomeW","HomeW","AwayL","AwayW","HomeW","HomeD","AwayD","HomeW","AwayD","HomeW","AwayD","HomeW","AwayW","HomeW","AwayW","HomeW","AwayW","HomeW","AwayW","HomeW","3","3","3","3","3","3","1","1","3","3","1","3","3","3","3","3","3","3","3","3","0","3","3","1","1","3","1","3","1","3","3","3","3","3","3","3","3","3"
"Man City","AwayW","HomeW","AwayD","HomeW","HomeW","AwayW","HomeW","AwayD","HomeW","AwayW","HomeW","HomeW","AwayW","HomeW","AwayW","AwayL","HomeW","HomeL","AwayL","AwayW","HomeW","HomeW","AwayW","AwayL","HomeW","AwayW","HomeW","HomeW","AwayW","HomeW","AwayW","HomeW","AwayW","HomeW","AwayW","AwayW","HomeW","AwayW","3","3","1","3","3","3","3","1","3","3","3","3","3","3","3","0","3","0","0","3","3","3","3","0","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"Man United","HomeW","AwayL","HomeL","AwayW","AwayW","HomeD","AwayL","HomeW","AwayD","HomeW","AwayW","AwayL","HomeD","AwayD","HomeD","HomeW","AwayL","AwayW","HomeW","HomeW","AwayW","AwayW","HomeW","HomeD","AwayW","AwayW","HomeD","AwayW","HomeW","AwayL","HomeW","AwayL","HomeW","AwayL","HomeL","HomeD","AwayD","HomeL","3","0","0","3","3","1","0","3","1","3","3","0","1","1","1","3","0","3","3","3","3","3","3","1","3","3","1","3","3","0","3","0","3","0","0","1","1","0"
"Newcastle","HomeL","AwayD","HomeL","AwayL","HomeL","AwayD","HomeL","AwayL","HomeL","AwayD","HomeW","HomeW","AwayW","HomeL","AwayD","HomeL","AwayW","HomeD","AwayL","AwayD","HomeL","AwayL","HomeW","HomeW","AwayL","AwayD","HomeW","HomeW","AwayL","HomeW","AwayD","AwayL","HomeL","AwayW","HomeW","AwayD","HomeL","AwayW","0","1","0","0","0","1","0","0","0","1","3","3","3","0","1","0","3","1","0","1","0","0","3","3","0","1","3","3","0","3","1","0","0","3","3","1","0","3"
"Southampton","HomeD","AwayL","HomeL","AwayW","HomeD","AwayL","AwayL","HomeL","AwayD","HomeD","AwayL","HomeD","AwayL","HomeD","AwayL","AwayL","HomeW","AwayW","HomeL","HomeL","AwayD","AwayW","HomeW","HomeD","AwayD","HomeL","AwayL","HomeW","AwayL","HomeW","AwayW","HomeL","HomeW","AwayL","AwayD","HomeD","AwayL","HomeD","1","0","0","3","1","0","0","0","1","1","0","1","0","1","0","0","3","3","0","0","1","3","3","1","1","0","0","3","0","3","3","0","3","0","1","1","0","1"
"Tottenham","AwayW","HomeW","AwayW","AwayL","HomeL","AwayW","AwayW","HomeW","AwayW","HomeL","AwayW","AwayW","HomeW","AwayL","HomeW","AwayW","HomeW","AwayW","HomeW","HomeL","AwayW","HomeL","AwayW","HomeW","HomeW","HomeW","AwayL","AwayL","HomeD","AwayL","AwayL","HomeW","HomeW","AwayL","HomeW","HomeL","AwayL","HomeD","3","3","3","0","0","3","3","3","3","0","3","3","3","0","3","3","3","3","3","0","3","0","3","3","3","3","0","0","1","0","0","3","3","0","3","0","0","1"
"Watford","HomeW","AwayW","HomeW","HomeW","HomeL","AwayD","AwayL","HomeL","AwayW","HomeW","AwayL","AwayD","HomeL","AwayL","HomeL","AwayD","HomeW","AwayW","HomeL","HomeD","AwayD","AwayW","HomeD","AwayL","AwayD","HomeW","AwayW","AwayL","HomeW","AwayL","AwayL","HomeW","HomeL","AwayW","HomeD","HomeL","AwayL","HomeL","3","3","3","3","0","1","0","0","3","3","0","1","0","0","0","1","3","3","0","1","1","3","1","0","1","3","3","0","3","0","0","3","0","3","1","0","0","0"
"West Ham","AwayL","HomeL","AwayL","HomeL","AwayW","HomeD","HomeW","AwayL","HomeL","AwayD","HomeW","AwayD","HomeL","AwayW","HomeW","HomeW","AwayW","HomeL","AwayW","AwayL","HomeD","HomeW","AwayL","AwayL","HomeD","AwayD","HomeW","AwayL","HomeW","AwayL","HomeW","HomeL","AwayL","AwayL","HomeD","AwayW","HomeW","AwayW","0","0","0","0","3","1","3","0","0","1","3","1","0","3","3","3","3","0","3","0","1","3","0","0","1","1","3","0","3","0","3","0","0","0","1","3","3","3"
"Wolves","HomeD","AwayL","HomeD","AwayW","HomeW","AwayD","HomeW","AwayW","HomeL","AwayL","HomeL","AwayD","HomeL","AwayL","HomeW","AwayW","HomeW","HomeL","AwayD","AwayW","HomeL","AwayL","HomeW","HomeW","AwayW","HomeD","AwayD","AwayL","HomeW","AwayD","AwayL","HomeW","AwayL","HomeD","HomeW","AwayW","HomeW","AwayL","1","0","1","3","3","1","3","3","0","0","0","1","0","0","3","3","3","0","1","3","0","0","3","3","3","1","1","0","3","1","0","3","0","1","3","3","3","0"
