"Position","Club","Matches","Wins","Draws","Losses","GoalsScored","GoalsConceded","GoalDiff","Points"
"1","Leicester",38,23,12,3,68,36,32,81
"2","Arsenal",38,20,11,7,65,36,29,71
"3","Tottenham",38,19,13,6,69,35,34,70
"4","Man City",38,19,9,10,71,41,30,66
"5","Man United",38,19,9,10,49,35,14,66
"6","Southampton",38,18,9,11,59,41,18,63
"7","West Ham",38,16,14,8,65,51,14,62
"8","Liverpool",38,16,12,10,63,50,13,60
"9","Stoke",38,14,9,15,41,55,-14,51
"10","Chelsea",38,12,14,12,59,53,6,50
"11","Everton",38,11,14,13,59,55,4,47
"12","Swansea",38,12,11,15,42,52,-10,47
"13","Watford",38,12,9,17,40,50,-10,45
"14","West Brom",38,10,13,15,34,48,-14,43
"15","Crystal Palace",38,11,9,18,39,51,-12,42
"16","Bournemouth",38,11,9,18,45,67,-22,42
"17","Sunderland",38,9,12,17,48,62,-14,39
"18","Newcastle",38,9,10,19,44,65,-21,37
"19","Norwich",38,9,7,22,39,67,-28,34
"20","Aston Villa",38,3,8,27,27,76,-49,17
